,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,species_encoded,petal_area,sepal_area,petal_sepal_ratio
0,1,5.1,3.5,1.4,0.2,Iris-setosa,0,0.27999999999999997,17.849999999999998,0.01568627450980392
1,2,4.9,3.0,1.4,0.2,Iris-setosa,0,0.27999999999999997,14.700000000000001,0.019047619047619046
2,3,4.7,3.2,1.3,0.2,Iris-setosa,0,0.26,15.040000000000001,0.017287234042553192
3,4,4.6,3.1,1.5,0.2,Iris-setosa,0,0.30000000000000004,14.26,0.02103786816269285
4,5,5.0,3.6,1.4,0.2,Iris-setosa,0,0.27999999999999997,18.0,0.015555555555555553
5,6,5.4,3.9,1.7,0.4,Iris-setosa,0,0.68,21.060000000000002,0.03228869895536562
6,7,4.6,3.4,1.4,0.3,Iris-setosa,0,0.42,15.639999999999999,0.026854219948849106
7,8,5.0,3.4,1.5,0.2,Iris-setosa,0,0.30000000000000004,17.0,0.017647058823529415
8,9,4.4,2.9,1.4,0.2,Iris-setosa,0,0.27999999999999997,12.76,0.021943573667711595
9,10,4.9,3.1,1.5,0.1,Iris-setosa,0,0.15000000000000002,15.190000000000001,0.009874917709019092
10,11,5.4,3.7,1.5,0.2,Iris-setosa,0,0.30000000000000004,19.980000000000004,0.015015015015015015
11,12,4.8,3.4,1.6,0.2,Iris-setosa,0,0.32000000000000006,16.32,0.019607843137254905
12,13,4.8,3.0,1.4,0.1,Iris-setosa,0,0.13999999999999999,14.399999999999999,0.009722222222222222
13,14,4.3,3.0,1.1,0.1,Iris-setosa,0,0.11000000000000001,12.899999999999999,0.008527131782945738
14,15,5.8,4.0,1.2,0.2,Iris-setosa,0,0.24,23.2,0.010344827586206896
15,16,5.7,4.4,1.5,0.4,Iris-setosa,0,0.6000000000000001,25.080000000000002,0.02392344497607656
16,17,5.4,3.9,1.3,0.4,Iris-setosa,0,0.52,21.060000000000002,0.024691358024691357
17,18,5.1,3.5,1.4,0.3,Iris-setosa,0,0.42,17.849999999999998,0.023529411764705885
18,19,5.7,3.8,1.7,0.3,Iris-setosa,0,0.51,21.66,0.023545706371191136
19,20,5.1,3.8,1.5,0.3,Iris-setosa,0,0.44999999999999996,19.38,0.023219814241486066
20,21,5.4,3.4,1.7,0.2,Iris-setosa,0,0.34,18.36,0.01851851851851852
21,22,5.1,3.7,1.5,0.4,Iris-setosa,0,0.6000000000000001,18.87,0.031796502384737683
22,23,4.6,3.6,1.0,0.2,Iris-setosa,0,0.2,16.56,0.01207729468599034
23,24,5.1,3.3,1.7,0.5,Iris-setosa,0,0.85,16.83,0.05050505050505051
24,25,4.8,3.4,1.9,0.2,Iris-setosa,0,0.38,16.32,0.023284313725490197
25,26,5.0,3.0,1.6,0.2,Iris-setosa,0,0.32000000000000006,15.0,0.021333333333333336
26,27,5.0,3.4,1.6,0.4,Iris-setosa,0,0.6400000000000001,17.0,0.03764705882352942
27,28,5.2,3.5,1.5,0.2,Iris-setosa,0,0.30000000000000004,18.2,0.016483516483516487
28,29,5.2,3.4,1.4,0.2,Iris-setosa,0,0.27999999999999997,17.68,0.01583710407239819
29,30,4.7,3.2,1.6,0.2,Iris-setosa,0,0.32000000000000006,15.040000000000001,0.021276595744680854
30,31,4.8,3.1,1.6,0.2,Iris-setosa,0,0.32000000000000006,14.879999999999999,0.021505376344086027
31,32,5.4,3.4,1.5,0.4,Iris-setosa,0,0.6000000000000001,18.36,0.03267973856209151
32,33,5.2,4.1,1.5,0.1,Iris-setosa,0,0.15000000000000002,21.32,0.007035647279549719
33,34,5.5,4.2,1.4,0.2,Iris-setosa,0,0.27999999999999997,23.1,0.01212121212121212
34,35,4.9,3.1,1.5,0.1,Iris-setosa,0,0.15000000000000002,15.190000000000001,0.009874917709019092
35,36,5.0,3.2,1.2,0.2,Iris-setosa,0,0.24,16.0,0.015
36,37,5.5,3.5,1.3,0.2,Iris-setosa,0,0.26,19.25,0.013506493506493506
37,38,4.9,3.1,1.5,0.1,Iris-setosa,0,0.15000000000000002,15.190000000000001,0.009874917709019092
38,39,4.4,3.0,1.3,0.2,Iris-setosa,0,0.26,13.200000000000001,0.019696969696969695
39,40,5.1,3.4,1.5,0.2,Iris-setosa,0,0.30000000000000004,17.34,0.01730103806228374
40,41,5.0,3.5,1.3,0.3,Iris-setosa,0,0.39,17.5,0.022285714285714287
41,42,4.5,2.3,1.3,0.3,Iris-setosa,0,0.39,10.35,0.03768115942028986
42,43,4.4,3.2,1.3,0.2,Iris-setosa,0,0.26,14.080000000000002,0.01846590909090909
43,44,5.0,3.5,1.6,0.6,Iris-setosa,0,0.96,17.5,0.054857142857142854
44,45,5.1,3.8,1.9,0.4,Iris-setosa,0,0.76,19.38,0.0392156862745098
45,46,4.8,3.0,1.4,0.3,Iris-setosa,0,0.42,14.399999999999999,0.029166666666666667
46,47,5.1,3.8,1.6,0.2,Iris-setosa,0,0.32000000000000006,19.38,0.016511867905056765
47,48,4.6,3.2,1.4,0.2,Iris-setosa,0,0.27999999999999997,14.719999999999999,0.019021739130434784
48,49,5.3,3.7,1.5,0.2,Iris-setosa,0,0.30000000000000004,19.61,0.01529831718510964
49,50,5.0,3.3,1.4,0.2,Iris-setosa,0,0.27999999999999997,16.5,0.016969696969696968
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,1,6.58,22.400000000000002,0.29374999999999996
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,1,6.75,20.480000000000004,0.32958984374999994
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,1,7.3500000000000005,21.39,0.3436185133239832
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,1,5.2,12.649999999999999,0.4110671936758894
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,1,6.8999999999999995,18.2,0.3791208791208791
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,1,5.8500000000000005,15.959999999999999,0.3665413533834587
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,1,7.5200000000000005,20.79,0.36171236171236176
57,58,4.9,2.4,3.3,1.0,Iris-versicolor,1,3.3,11.76,0.28061224489795916
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,1,5.9799999999999995,19.139999999999997,0.3124346917450366
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,1,5.46,14.040000000000001,0.38888888888888884
60,61,5.0,2.0,3.5,1.0,Iris-versicolor,1,3.5,10.0,0.35
61,62,5.9,3.0,4.2,1.5,Iris-versicolor,1,6.300000000000001,17.700000000000003,0.3559322033898305
62,63,6.0,2.2,4.0,1.0,Iris-versicolor,1,4.0,13.200000000000001,0.303030303030303
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,1,6.58,17.689999999999998,0.37196156020350485
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,1,4.680000000000001,16.24,0.2881773399014779
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,1,6.16,20.77,0.2965816080885893
66,67,5.6,3.0,4.5,1.5,Iris-versicolor,1,6.75,16.799999999999997,0.40178571428571436
67,68,5.8,2.7,4.1,1.0,Iris-versicolor,1,4.1,15.66,0.2618135376756066
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,1,6.75,13.640000000000002,0.49486803519061573
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,1,4.29,14.0,0.30642857142857144
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,1,8.64,18.880000000000003,0.45762711864406774
71,72,6.1,2.8,4.0,1.3,Iris-versicolor,1,5.2,17.08,0.30444964871194385
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,1,7.3500000000000005,15.75,0.4666666666666667
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,1,5.64,17.08,0.3302107728337237
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,1,5.59,18.56,0.30118534482758624
75,76,6.6,3.0,4.4,1.4,Iris-versicolor,1,6.16,19.799999999999997,0.31111111111111117
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,1,6.72,19.04,0.35294117647058826
77,78,6.7,3.0,5.0,1.7,Iris-versicolor,1,8.5,20.1,0.42288557213930345
78,79,6.0,2.9,4.5,1.5,Iris-versicolor,1,6.75,17.4,0.3879310344827587
79,80,5.7,2.6,3.5,1.0,Iris-versicolor,1,3.5,14.82,0.23616734143049933
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,1,4.18,13.2,0.31666666666666665
81,82,5.5,2.4,3.7,1.0,Iris-versicolor,1,3.7,13.2,0.28030303030303033
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,1,4.68,15.66,0.29885057471264365
83,84,6.0,2.7,5.1,1.6,Iris-versicolor,1,8.16,16.200000000000003,0.5037037037037037
84,85,5.4,3.0,4.5,1.5,Iris-versicolor,1,6.75,16.200000000000003,0.4166666666666666
85,86,6.0,3.4,4.5,1.6,Iris-versicolor,1,7.2,20.4,0.35294117647058826
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,1,7.050000000000001,20.77,0.33943187289359655
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,1,5.720000000000001,14.489999999999998,0.39475500345065573
88,89,5.6,3.0,4.1,1.3,Iris-versicolor,1,5.33,16.799999999999997,0.3172619047619048
89,90,5.5,2.5,4.0,1.3,Iris-versicolor,1,5.2,13.75,0.3781818181818182
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,1,5.28,14.3,0.36923076923076925
91,92,6.1,3.0,4.6,1.4,Iris-versicolor,1,6.4399999999999995,18.299999999999997,0.351912568306011
92,93,5.8,2.6,4.0,1.2,Iris-versicolor,1,4.8,15.08,0.3183023872679045
93,94,5.0,2.3,3.3,1.0,Iris-versicolor,1,3.3,11.5,0.28695652173913044
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,1,5.460000000000001,15.12,0.36111111111111116
95,96,5.7,3.0,4.2,1.2,Iris-versicolor,1,5.04,17.1,0.29473684210526313
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,1,5.460000000000001,16.53,0.33030852994555354
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,1,5.59,17.98,0.31090100111234703
98,99,5.1,2.5,3.0,1.1,Iris-versicolor,1,3.3000000000000003,12.75,0.25882352941176473
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,1,5.33,15.959999999999999,0.33395989974937346
100,101,6.3,3.3,6.0,2.5,Iris-virginica,2,15.0,20.79,0.7215007215007215
101,102,5.8,2.7,5.1,1.9,Iris-virginica,2,9.69,15.66,0.6187739463601533
102,103,7.1,3.0,5.9,2.1,Iris-virginica,2,12.39,21.299999999999997,0.5816901408450705
103,104,6.3,2.9,5.6,1.8,Iris-virginica,2,10.08,18.27,0.5517241379310345
104,105,6.5,3.0,5.8,2.2,Iris-virginica,2,12.76,19.5,0.6543589743589744
105,106,7.6,3.0,6.6,2.1,Iris-virginica,2,13.86,22.799999999999997,0.6078947368421053
106,107,4.9,2.5,4.5,1.7,Iris-virginica,2,7.6499999999999995,12.25,0.6244897959183673
107,108,7.3,2.9,6.3,1.8,Iris-virginica,2,11.34,21.169999999999998,0.5356636750118092
108,109,6.7,2.5,5.8,1.8,Iris-virginica,2,10.44,16.75,0.6232835820895523
109,110,7.2,3.6,6.1,2.5,Iris-virginica,2,15.25,25.92,0.5883487654320987
110,111,6.5,3.2,5.1,2.0,Iris-virginica,2,10.2,20.8,0.4903846153846153
111,112,6.4,2.7,5.3,1.9,Iris-virginica,2,10.069999999999999,17.28,0.5827546296296295
112,113,6.8,3.0,5.5,2.1,Iris-virginica,2,11.55,20.4,0.5661764705882354
113,114,5.7,2.5,5.0,2.0,Iris-virginica,2,10.0,14.25,0.7017543859649122
114,115,5.8,2.8,5.1,2.4,Iris-virginica,2,12.239999999999998,16.24,0.7536945812807881
115,116,6.4,3.2,5.3,2.3,Iris-virginica,2,12.19,20.480000000000004,0.5952148437499999
116,117,6.5,3.0,5.5,1.8,Iris-virginica,2,9.9,19.5,0.5076923076923077
117,118,7.7,3.8,6.7,2.2,Iris-virginica,2,14.740000000000002,29.259999999999998,0.5037593984962407
118,119,7.7,2.6,6.9,2.3,Iris-virginica,2,15.87,20.02,0.7927072927072927
119,120,6.0,2.2,5.0,1.5,Iris-virginica,2,7.5,13.200000000000001,0.5681818181818181
120,121,6.9,3.2,5.7,2.3,Iris-virginica,2,13.11,22.080000000000002,0.5937499999999999
121,122,5.6,2.8,4.9,2.0,Iris-virginica,2,9.8,15.679999999999998,0.6250000000000001
122,123,7.7,2.8,6.7,2.0,Iris-virginica,2,13.4,21.56,0.6215213358070502
123,124,6.3,2.7,4.9,1.8,Iris-virginica,2,8.82,17.01,0.5185185185185185
124,125,6.7,3.3,5.7,2.1,Iris-virginica,2,11.97,22.11,0.5413839891451833
125,126,7.2,3.2,6.0,1.8,Iris-virginica,2,10.8,23.040000000000003,0.46875
126,127,6.2,2.8,4.8,1.8,Iris-virginica,2,8.64,17.36,0.4976958525345623
127,128,6.1,3.0,4.9,1.8,Iris-virginica,2,8.82,18.299999999999997,0.4819672131147542
128,129,6.4,2.8,5.6,2.1,Iris-virginica,2,11.76,17.919999999999998,0.6562500000000001
129,130,7.2,3.0,5.8,1.6,Iris-virginica,2,9.28,21.6,0.4296296296296296
130,131,7.4,2.8,6.1,1.9,Iris-virginica,2,11.589999999999998,20.72,0.5593629343629343
131,132,7.9,3.8,6.4,2.0,Iris-virginica,2,12.8,30.02,0.42638241172551633
132,133,6.4,2.8,5.6,2.2,Iris-virginica,2,12.32,17.919999999999998,0.6875000000000001
133,134,6.3,2.8,5.1,1.5,Iris-virginica,2,7.6499999999999995,17.639999999999997,0.43367346938775514
134,135,6.1,2.6,5.6,1.4,Iris-virginica,2,7.839999999999999,15.86,0.49432534678436313
135,136,7.7,3.0,6.1,2.3,Iris-virginica,2,14.029999999999998,23.1,0.6073593073593072
136,137,6.3,3.4,5.6,2.4,Iris-virginica,2,13.44,21.419999999999998,0.6274509803921569
137,138,6.4,3.1,5.5,1.8,Iris-virginica,2,9.9,19.840000000000003,0.4989919354838709
138,139,6.0,3.0,4.8,1.8,Iris-virginica,2,8.64,18.0,0.48000000000000004
139,140,6.9,3.1,5.4,2.1,Iris-virginica,2,11.340000000000002,21.39,0.5301542776998598
140,141,6.7,3.1,5.6,2.4,Iris-virginica,2,13.44,20.77,0.6470871449205585
141,142,6.9,3.1,5.1,2.3,Iris-virginica,2,11.729999999999999,21.39,0.5483870967741935
142,143,5.8,2.7,5.1,1.9,Iris-virginica,2,9.69,15.66,0.6187739463601533
143,144,6.8,3.2,5.9,2.3,Iris-virginica,2,13.57,21.76,0.6236213235294117
144,145,6.7,3.3,5.7,2.5,Iris-virginica,2,14.25,22.11,0.644504748982361
145,146,6.7,3.0,5.2,2.3,Iris-virginica,2,11.959999999999999,20.1,0.5950248756218904
146,147,6.3,2.5,5.0,1.9,Iris-virginica,2,9.5,15.75,0.6031746031746031
147,148,6.5,3.0,5.2,2.0,Iris-virginica,2,10.4,19.5,0.5333333333333333
148,149,6.2,3.4,5.4,2.3,Iris-virginica,2,12.42,21.08,0.5891840607210627
149,150,5.9,3.0,5.1,1.8,Iris-virginica,2,9.18,17.700000000000003,0.5186440677966101
